time,temperature_2m,relativehumidity_2m,precipitation
2023-01-06 18:00:00,11.7,86,0.0
2023-01-06 19:00:00,11.6,86,0.0
2023-01-06 20:00:00,11.7,86,0.0
2023-01-06 21:00:00,11.6,85,0.0
2023-01-06 22:00:00,11.5,84,0.0
2023-01-06 23:00:00,11.4,84,0.0
2023-01-07 00:00:00,11.3,83,0.0
2023-01-07 01:00:00,11.2,79,0.0
2023-01-07 02:00:00,11.1,78,0.1
2023-01-07 03:00:00,10.8,81,0.7
2023-01-07 04:00:00,10.2,87,0.6
2023-01-07 05:00:00,10.1,87,0.5
2023-01-07 06:00:00,10.5,87,0.6
2023-01-07 07:00:00,10.6,86,0.1
2023-01-07 08:00:00,11.0,85,0.1
2023-01-07 09:00:00,10.9,87,0.2
2023-01-07 10:00:00,11.0,87,0.2
2023-01-07 11:00:00,10.2,88,0.9
2023-01-07 12:00:00,9.8,88,1.0
2023-01-07 13:00:00,9.2,85,0.0
2023-01-07 14:00:00,8.3,81,0.0
2023-01-07 15:00:00,7.6,82,0.0
2023-01-07 16:00:00,7.3,82,0.0
2023-01-07 17:00:00,7.6,80,0.0
2023-01-07 18:00:00,7.7,80,0.0
2023-01-07 19:00:00,8.4,78,0.0
2023-01-07 20:00:00,8.2,80,0.0
2023-01-07 21:00:00,7.8,83,0.0
2023-01-07 22:00:00,7.6,83,0.4
2023-01-07 23:00:00,7.1,86,0.0
