time,temperature_2m,relativehumidity_2m,precipitation
2023-01-06 18:00:00,8.0,72,1.2
2023-01-06 19:00:00,7.8,77,0.1
2023-01-06 20:00:00,7.6,79,0.3
2023-01-06 21:00:00,7.0,86,0.3
2023-01-06 22:00:00,7.0,91,0.3
2023-01-06 23:00:00,7.1,92,0.3
2023-01-07 00:00:00,6.4,95,0.2
2023-01-07 01:00:00,6.2,96,0.3
2023-01-07 02:00:00,6.3,95,0.6
2023-01-07 03:00:00,6.2,93,0.1
2023-01-07 04:00:00,6.2,95,0.0
2023-01-07 05:00:00,6.5,95,0.6
2023-01-07 06:00:00,6.6,94,1.0
2023-01-07 07:00:00,6.6,93,0.6
2023-01-07 08:00:00,6.3,93,0.1
2023-01-07 09:00:00,6.3,94,0.3
2023-01-07 10:00:00,6.4,94,0.3
2023-01-07 11:00:00,6.7,96,0.2
2023-01-07 12:00:00,6.7,98,0.5
2023-01-07 13:00:00,7.7,95,0.4
2023-01-07 14:00:00,7.8,91,0.2
2023-01-07 15:00:00,7.7,91,0.2
2023-01-07 16:00:00,6.9,96,0.0
2023-01-07 17:00:00,7.1,94,0.2
2023-01-07 18:00:00,7.9,85,0.2
2023-01-07 19:00:00,7.0,84,0.2
2023-01-07 20:00:00,6.7,83,0.0
2023-01-07 21:00:00,6.3,82,0.0
2023-01-07 22:00:00,4.4,86,0.0
2023-01-07 23:00:00,4.0,86,0.0
